GEO.id,GEO.display-label,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Geographic area name,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01923,"ZIP 01923 (Danvers, MA)",1092,29701,301799,1311081
8610000US01929,"ZIP 01929 (Essex, MA)",149,1050,10357,53736
8610000US01930,"ZIP 01930 (Gloucester, MA)",889,9786,126887,544302
8610000US01931,"ZIP 01931 (Gloucester, MA)",14,32,202,1181
8610000US01936,"ZIP 01936 (Hamilton, MA)",16,147,987,4585
8610000US01937,"ZIP 01937 (Hathorne, MA)",5,53,412,1897
8610000US01938,"ZIP 01938 (Ipswich, MA)",367,4647,66767,303181
8610000US01940,"ZIP 01940 (Lynnfield, MA)",400,4627,63872,258584
8610000US01944,"ZIP 01944 (Manchester, MA)",177,1279,14265,63013
8610000US01945,"ZIP 01945 (Marblehead, MA)",559,3826,33611,153088
8610000US01949,"ZIP 01949 (Middleton, MA)",306,3513,38396,174220
8610000US01950,"ZIP 01950 (Newburyport, MA)",778,10078,109354,498322
8610000US01951,"ZIP 01951 (Newbury, MA)",84,434,2731,13370
8610000US01952,"ZIP 01952 (Salisbury, MA)",274,2435,24050,131193
8610000US01960,"ZIP 01960 (Peabody, MA)",1443,23642,274695,1121461
8610000US01961,"ZIP 01961 (Peabody, MA)",34,444,4470,18187
8610000US01965,"ZIP 01965 (Prides Crossing, MA)",12,e,D,D
8610000US01966,"ZIP 01966 (Rockport, MA)",190,683,5229,28594
8610000US01969,"ZIP 01969 (Rowley, MA)",215,2546,27955,126270
8610000US01970,"ZIP 01970 (Salem, MA)",1137,16875,186329,808264
8610000US01971,"ZIP 01971 (Salem, MA)",3,5,26,99
8610000US01982,"ZIP 01982 (South Hamilton, MA)",141,845,7801,37347
8610000US01983,"ZIP 01983 (Topsfield, MA)",252,2048,25118,115342
8610000US01984,"ZIP 01984 (Wenham, MA)",77,1829,12930,46438
8610000US01985,"ZIP 01985 (West Newbury, MA)",70,520,4487,21670
8610000US02018,"ZIP 02018 (Accord, MA)",5,76,1782,8632
8610000US02019,"ZIP 02019 (Bellingham, MA)",390,6284,59701,255575
8610000US02020,"ZIP 02020 (Brant Rock, MA)",13,199,789,4352
8610000US02021,"ZIP 02021 (Canton, MA)",938,22933,398470,1619780
8610000US02025,"ZIP 02025 (Cohasset, MA)",273,2245,16804,79572
