GEO.id,Total_Households,Total_Families,Families_w_Children
8600000US02911,6685,3685,1427
8600000US02912,0,0,0
8600000US02914,8768,5702,2623
8600000US02915,7343,4252,1635
8600000US02916,3657,2283,997
8600000US02917,4299,3016,1068
8600000US02919,11765,7074,2884
8600000US02920,14358,8970,3336
8600000US02921,4217,3131,1523
8600000US03031,3932,3154,1412
8600000US03032,1932,1558,661
8600000US03033,1676,1436,748
8600000US03034,1519,1163,427
8600000US03036,1618,1319,641
8600000US03037,1562,1258,481
8600000US03038,13241,9131,4370
8600000US03042,2581,2007,791
8600000US03043,575,445,149
8600000US03044,1613,1325,504
8600000US03045,5106,3489,1528
8600000US03046,1031,817,348
8600000US03047,606,448,139
8600000US03048,1355,922,341
8600000US03049,2832,2242,903
8600000US03051,8864,6772,2992
8600000US03052,2821,2377,1207
8600000US03053,8368,6749,3241
8600000US03054,9576,7044,2779
8600000US03055,6091,4201,1982
8600000US03057,901,782,354
8600000US03060,11823,6497,2945
8600000US03062,10636,7402,3125
8600000US03063,6508,4244,1888
8600000US03064,5652,3687,1627
8600000US03070,1882,1453,674
8600000US03071,1795,1393,524
8600000US03076,4453,3464,1505
8600000US03077,3970,2855,1256
8600000US03079,11110,7908,3239
8600000US03082,618,485,151
8600000US03084,512,360,117
8600000US03086,1508,912,411
8600000US03087,5096,4141,1976
8600000US03101,1695,494,163
8600000US03102,13200,7087,3067
8600000US03103,13796,8681,4163
8600000US03104,13580,7799,3349
8600000US03106,5167,3690,1513
8600000US03109,4003,2720,1107
8600000US03110,7383,6017,2934
8600000US03215,106,57,14
8600000US03216,880,599,202
8600000US03217,937,583,189
8600000US03218,364,336,76
8600000US03220,2853,2161,765
8600000US03221,869,634,244
8600000US03222,2247,1476,529
8600000US03223,1442,873,225
8600000US03224,898,633,208
8600000US03225,1337,1010,434
8600000US03226,435,320,84
8600000US03227,492,358,132
8600000US03229,2068,1512,628
8600000US03230,546,364,130
8600000US03231,104,57,25
8600000US03233,47,28,9
8600000US03234,1810,1225,499
8600000US03235,3471,2108,852
8600000US03237,858,596,104
8600000US03238,35,27,20
8600000US03240,535,317,116
8600000US03241,367,250,61
8600000US03242,1668,1107,546
8600000US03243,430,349,118
8600000US03244,3170,2210,1000
8600000US03245,816,614,203
8600000US03246,6776,4082,1520
8600000US03249,3055,2117,593
8600000US03251,608,320,111
8600000US03253,2611,1667,676
8600000US03254,1807,1303,356
8600000US03255,828,609,172
8600000US03256,871,636,225
8600000US03257,1734,1097,277
8600000US03258,980,701,254
8600000US03259,153,102,28
8600000US03260,324,225,88
8600000US03261,1644,1244,451
8600000US03262,437,267,77
8600000US03263,1524,979,420
8600000US03264,2245,1034,445
8600000US03266,960,598,173
8600000US03268,520,351,92
8600000US03269,1184,850,224
8600000US03273,146,92,17
8600000US03275,4377,3083,1328
8600000US03276,3267,2219,869
8600000US03278,1090,778,284
8600000US03279,313,191,65
8600000US03280,476,367,60
8600000US03281,3144,2485,1249
8600000US03282,341,246,52
8600000US03284,392,316,114
8600000US03285,912,599,172
8600000US03287,611,402,153
8600000US03290,1734,1393,557
8600000US03291,19,8,0
8600000US03293,35,27,10
8600000US03301,12897,7218,3215
8600000US03303,6074,4082,1622
8600000US03304,2783,2314,973
8600000US03307,2062,1515,493
8600000US03431,10265,5633,2078
8600000US03440,1050,741,261
8600000US03441,181,126,89
8600000US03442,553,396,215
8600000US03443,301,224,88
